SOEs	Source Package	Binary Package	Origin	New Version	Arch	Old Version	Comment
3	samba	libsmbclient	stable-backports	2:4.20.2+dfsg-6~bpo12+1	amd64	2:4.17.12+dfsg-0+deb12u1	''
3	samba	samba-libs	stable-backports	2:4.20.2+dfsg-6~bpo12+1	amd64	2:4.17.12+dfsg-0+deb12u1	''
17	samba	libwbclient0	stable-backports	2:4.20.2+dfsg-6~bpo12+1	amd64	2:4.17.12+dfsg-0+deb12u1	''
3	vlc	libvlc-bin	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	REJECT. False positive.  Staff get unrestricted stock vlc nowdays, for DVD ripping.
3	vlc	libvlc5	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
3	vlc	libvlccore9	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
3	vlc	vlc-bin	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
3	vlc	vlc-data	bookworm	3.0.21-0+deb12u1PrisonPC4	all	3.0.21-0+deb12u1	''
3	vlc	vlc-plugin-base	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
3	vlc	vlc-plugin-qt	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
3	vlc	vlc-plugin-video-output	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
3	vlc	vlc	bookworm	3.0.21-0+deb12u1PrisonPC4	amd64	3.0.21-0+deb12u1	''
17	sysvinit	sysvinit-utils	stable-backports	3.08-3~bpo12+2	amd64	3.06-4	REJECT. Only if needed for src:systemd/stable-backports see https://bugs.debian.org/1056363
7	libgwenhywfar	libgwengui-gtk3-79	stable-backports	5.11.2beta-1~bpo12+1	amd64	5.10.1-2	REJECT. Cross-platform GUI widget middleware.  Do not care.  Nothing in changelog looks interesting.
7	libgwenhywfar	libgwenhywfar-data	stable-backports	5.11.2beta-1~bpo12+1	all	5.10.1-2	''
7	libgwenhywfar	libgwenhywfar79	stable-backports	5.11.2beta-1~bpo12+1	amd64	5.10.1-2	''
7	libaqbanking	libaqbanking-data	stable-backports	6.5.11beta-1~bpo12+1	all	6.5.3-1	REJECT. Only used by gnucash.  Don't care.
7	libaqbanking	libaqbanking44	stable-backports	6.5.11beta-1~bpo12+1	amd64	6.5.3-1	''
3	smartmontools	smartmontools	stable-backports	7.4-2~bpo12+1	amd64	7.3-1+b1	APPROVE? Minor improvements to no-disk hosts.  Probably newer drivedb.h w/o network access.  https://github.com/smartmontools/smartmontools/releases/tag/RELEASE_7_4
3	curl	curl	stable-backports	8.8.0-1~bpo12+1	amd64	7.88.1-10+deb12u6	REJECT.  /bin/curl is only pulled in by smartmontools. libcurl4 and libcurl3-gnutls are pulled in by things like libreoffice.  Adds HTTP/3 support, but I don't think we CARE.  https://curl.se/docs/releases.html
10	curl	libcurl4	stable-backports	8.8.0-1~bpo12+1	amd64	7.88.1-10+deb12u6	''
13	curl	libcurl3-gnutls	stable-backports	8.8.0-1~bpo12+1	amd64	7.88.1-10+deb12u6	''
1	debhelper	debhelper	stable-backports	13.11.8~bpo12+1	all	13.11.4	REJECT.  Why is debhelper installed on ANYTHING?  It's probably --template=datasafe3 or --template=understudy...
1	debhelper	libdebhelper-perl	stable-backports	13.11.8~bpo12+1	all	13.11.4	''
17	dbus-broker	dbus-broker	stable-backports	36-1~bpo12+1	amd64	33-1	REJECT.  Nothing interesting in https://github.com/bus1/dbus-broker/releases nor https://metadata.ftp-master.debian.org/changelogs/main/d/dbus-broker/stable-backports_changelog
6	systemd	libnss-myhostname	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	REJECT. Current policy is bpo systemd is too far-reaching and risky.
6	systemd	libnss-resolve	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	libpam-systemd	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	libsystemd-shared	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	libsystemd0	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	libudev1	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	systemd-boot-efi	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	systemd-resolved	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	systemd-sysv	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	systemd-timesyncd	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	systemd	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
6	systemd	udev	stable-backports	254.15-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	libnss-myhostname	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	REJECT. New backport landed DURING batch build, so 17 systemd entries are broken into 11 and 6.
11	systemd	libnss-resolve	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	libpam-systemd	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	libsystemd-shared	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	libsystemd0	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	libudev1	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	systemd-boot-efi	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	systemd-resolved	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	systemd-sysv	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	systemd-timesyncd	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	systemd	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
11	systemd	udev	stable-backports	254.16-1~bpo12+1	amd64	252.26-1~deb12u2	''
