filename,size,timestamp,downloads,type,version,dependencies,description,status,DL_per_day,megabytes
Wesnoth_Creepypasta,578040,1716689593,24,campaign,0.1,,"A fictional tale about a lost campaign from the early days of Wesnoth and the ends that one might go to recover it. Includes themes of death, loss, and marital unhappiness, and has some imagery that may be unsettling, but no gore.
	
Also serves as an introduction to the Loyalists faction, with units introduced a few at a time and the core recruit group is the same as the multiplayer faction. Includes a leader unit with custom advancements.

Nine scenarios, eight playable.",,24.1138710577728,0.551261901855469
A_Group_in_a_War,392808,1709356214,2007,campaign,0.3.0b,Tamanegi_Jukebox,"You are the leader of a small troop. Lead your troop to finish the war. 

A simple RPG style campaign. There are some strange features in the gameplay, so the first time players should not choose Hard level.
UMC Music Books (especially 1 and 8-11) are not required but recommended.",,23.3719003942517,0.374610900878906
A_Fiery_Birth,1122249,1708994043,1375,campaign,1.4.2,,"A scholar of the great academy travels to the land of the drakes to discover their secret origin.

This is a campaign designed to give players experience in the Drake/Saurian faction. The first level is a bonus level with a fire dragon. 9 scenarios.",,15.2668969723482,1.0702600479126
An_Independence_War,439013,1711179514,754,campaign,0.4.1a,Tamanegi_Jukebox,"Fight against the world to save your people.
This is a sequel to A Group in a War campaign.

Intermediate to Expert level (containing very strange features).
The game system is completely different from the standard of BfW.
Main units in this campaign are troops which consist of multiple units.

Tamanegi Jukebox addon is required.
UMC Music Books (1-12) and West's Chronicles (I and II) are not required but recommended to install.",,11.6413104837305,0.418675422668457
Genesis,3588910,1711660931,733,campaign,0.2.13,Genesis_Resources,"This campaign is the prequel to Invasion from the Unknown and After the Storm.

In the cycle before our own, the civilization of the First Gods was eradicated by a cataclysmic force that was beyond their control. On the brink of utter destruction, the few survivors harnessed the ten aspects of creation to end their cycle and shape the development of a new universe. In the process, however, many errors were introduced into the fabric of the new worlds, which would eventually resurface when the Guardians of the new universe began to unveil the secrets of their creation.

(Expert level, Episode 1 - 23 scenarios)

Wesnoth 1.14.0 or later required.

Discussion thread in the Wesnoth.org forums: http://forums.wesnoth.org/viewtopic.php?f=8&t=43023",,12.3823038664981,3.42265129089355
A_Magicians_Tale,6164516,1712597717,697,campaign,3.16.10,,"A campaign in which the protagonists are an unusual group of magicians, of any race, with unusual abilities.
The magical special abilities of the magician's can be activated by opening the Item menu (right-click on the character's tile).
In this campaign, it is not possible to recruit supporters in the usual way, but they can be selected, hired, summoned and/or met in many different ways.
Since the entire campaign is set for winter, a twelve-shift day is used, with a low prevalence of night shifts.

(Difficult level, 10 battle scenarios, 5 dialogue and others things scenarios.)",,14.4142419052014,5.87894058227539
A_Vision_Blinded,4777835,1711543415,781,campaign,1.0.28,,"Defend the northern forest against what appeared like a routine orcish raid, and unravel the greater conspiracies that lie below its waves.

You fight with Elfes against Dwarves, Orcs, Humans and Undead.
Later in the campaign you can recruit Trolls, Humans and Woses.

13 scenarios total.
1 of them is dialogue only.",,12.8968286580902,4.55649852752686
Heir,1782144,1716330923,49,campaign,0.1.2,,"The Grand Orcish Leader has united all orcish tribes, forging an unstoppable force. As the capital teeters on the brink of collapse, Princess Alice and her comrades must undertake a daring mission to assassinate the Grand Orcish Leader before it's too late. Can they succeed in eliminating this formidable foe and halt the impending doom looming over Wesnoth?

(Master level, 5 playable scenarios.)


It's working in progress, unfinished yet. Please leave your feedback if you gave it a try. ^^
",,9.52093950011469,1.6995849609375
Ashevieres_Shadow,1100666,1709339325,725,campaign,1.4.3,,"Even in the deserts far to the south of Wesnoth, Queen Asheviere's shadow darkens the land.

This is a campaign designed to give players experience in the Dunefolk faction, with the same as in the multiplayer faction. Units are introduced a few at a time. Dune Paragon is enabled, and Jinn and Wyvern Riders are included as enemies.",,8.42358927740558,1.0496768951416
An_Orcish_Incursion,7627811,1708530792,1337,campaign,1.0.4.1,,"Defend the forests of the elves against the first orcs to reach the Great Continent, learning valuable tactics as you do so. (Novice level, 7 scenarios)",,14.0108793513676,7.27444744110107
