Tags,Package,Name,Verdict,Useful?/Replayable?,Best?,REPL-less?,GUI?,Windowed?,Starts fast?,Runs fast?,Install Cost,Home Cost,Rank,Notes
--------------------,--------------------,REJECTED SIZE,----,----,----,----,----,----,----,----,----,----,----,--------------------
games finest simulation,flightgear,Flight Simulator,FAIL,,,,,,,,,,,">1GB compressed for 1 game is too much!"
games finest strategy,0ad,0 A.D. (RTS),FAIL,,,,,,,,,,,">1GB compressed for 1 game is too much!"
games finest strategy,ufoai,X-COM clone (3D era),FAIL,,,,,,,,,,,">1GB compressed for 1 game is too much!"
--------------------,--------------------,REJECTED PREFER,----,----,----,----,----,----,----,----,----,----,----,--------------------
,sm,Screen Message,FAIL,No,No,,,,,,,,,"Not useful.  Prefer xfce4-notifyd."
,xzip,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,glulxe,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,gargoyle-free,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment  VERY UNPOPULAR (hours per site-year)"
,zoom-player,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,jzip,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,qtads,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,fizmo-sdl2,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,sdlfrotz,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,sludge-engine,Interactive Fiction,FAIL,,No,,,,,,,,,"Prefer browser-based https://www.ifwiki.org/Parchment"
,naev,Escape Velocity clone,FAIL,,No,,,,,,,,,"Big.  Ugly. Prefer endless-sky."
,pysolfc,Solitaire,FAIL,,No,,,,,,,,,"Prefer aisleriot.  Fails to start with: ModuleNotFoundError: No module named 'pysollib'"
,xsol,Solitaire,FAIL,,No,,,,,,,,,"REALLY ugly.  Prefer aisleriot."
,xpat2,Solitaire,FAIL,,No,,,,,,,,,"REALLY ugly.  No .desktop.  Prefer aisleriot."
,kpat,Solitaire (Patience),FAIL,,No,,,,,,,,,"Basically OK, but prefer aisleriot."
,lskat,Solitaire,FAIL,,No,,,,,,,,,"This has some kind of weird adversarial 2P mode?  Fuck it, let's stick with the GTK-based solitaire (aisleriot)."
,ksudoku,Sudoku,FAIL,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,"Messier / more confusing UX than gnome-sudoku.   Can do exclusion numbers with shift+digit.  Has different game styles.  The play area theme is a bit uglier.  Overall, I think I prefer gnome-sudoku, even though it has fewer features."
